"","address","city","state","zip","longitude","latitude"
"62","2120 E Cactus Rd","Phoenix","AZ","85022",-112.0364,33.5968
"63","2525 W Deer Valley Rd","Phoenix","AZ","85027",-112.1146,33.6838
"64","4120 N 51st Ave","Phoenix","AZ","85031",-112.1689,33.4954
"65","3205 E Bell Rd","Phoenix","AZ","85032",-112.0134,33.6405
"66","1401 N 75th Ave","Phoenix","AZ","85043",-112.2204,33.4639
"67","6700 West Latham","Phoenix","AZ","85043",-112.2034,33.4601
"68","9030 N Black Canyon Highway","Phoenix","AZ","85051",-112.1178,33.5679
"69","2717 W Bell Rd","Phoenix","AZ","85053",-112.1188,33.6398
"70","7000 E Mayo Blvd","Phoenix","AZ","85054",-111.9297,33.6553
"71","3160 W Carefree","Phoenix","AZ","85086",-112.1287,33.7984
"72","1230 Gail Gardner Way","Prescott","AZ","86305",-112.4864,34.5635
"73","7925 E Hwy 69","Prescott Valley","AZ","86312",-112.3265,34.5859
"74","1758 W Hunt Highway","San Tan Valley","AZ","85143",-111.5849,33.1798
"75","3315 N Scottsdale","Scottsdale","AZ","85251",-111.9261,33.4864
"76","9160 E Indian Bend Rd","Scottsdale","AZ","85256",-111.8836,33.5384
"77","7605 E McDowell Rd","Scottsdale","AZ","85260",-111.9174,33.4657
"78","4471 White Mountain Rd","Show Low","AZ","85901",-110.0239,34.2095
"79","2397 Fry Blvd","Sierra Vista","AZ","85635",-110.2737,31.5546
"80","392 W Hwy 264","St Michaels","AZ","86511",-109.1132,35.6584
"81","14799 West Grand Ave","Surprise","AZ","85374",-112.3774,33.6597
"82","650 N Scottsdale Rd","Tempe","AZ","85281",-111.9263,33.435
"83","825 S 48th St","Tempe","AZ","85281",-111.9763,33.4215
"84","1343 W Broadway","Tempe","AZ","85282",-111.9596,33.4074
"85","4403 S Rural Rd","Tempe","AZ","85282",-111.9264,33.385
"86","1994 W Baseline Rd","Tempe","AZ","85283",-111.9697,33.3783
"87","2875 W Highway 70","Thatcher","AZ","85552",-109.7484,32.8482
"88","2 Legacy Lane","Tuba City","AZ","86045",-111.5178,35.2812
"89","5000 Oracle Rd","Tucson","AZ","85704",-110.9782,32.2974
"90","1510 W Valencia Rd","Tucson","AZ","85706",-110.9966,32.1339
"91","2630 E Valencia Rd","Tucson","AZ","85706",-110.9326,32.1341
"92","6484 E Broadway","Tucson","AZ","85710",-110.8551,32.2209
"93","3702 E Irvington Rd","Tucson","AZ","85714",-110.9122,32.1631
"94","University of Arizona - Park Stu","Tucson","AZ","85721",-110.9461,32.2074
"95","4920 W Ina Rd","Tucson","AZ","85741",-111.0684,32.3376
"96","555 N Freeway","Tucson","AZ","85745",-110.9833,32.231
"97","1010 N Tegner Rd","Wickenburg","AZ","85390",-112.738,33.9807
"98","400 Transcon Lane","Winslow","AZ","86047",-110.6749,35.0167
"99","11121 Grand Ave","Youngtown","AZ","85363",-112.2997,33.6055
"100","1435 E 16th St","Yuma","AZ","85365",-114.6055,32.6985
"101","Marine Corps Air Station","Yuma","AZ","85365",-114.542,32.6781
"102","11255 E South Frontage Rd","Yuma","AZ","85367",-114.4443,32.6682
"103","14240 Us Highway 395","Adelanto","CA","92301",-117.3996,34.5091
"104","369 W Main St","Alhambra","CA","91801",-118.1309,34.0933
"105","1168 W Katella Ave","Anaheim","CA","92802",-117.927,33.8032
"106","1610 S Harbor Blvd","Anaheim","CA","92802",-117.9153,33.8085
"107","2080 S Harbor Blvd","Anaheim","CA","92802",-117.915,33.7967
"108","210 S Euclid St","Anaheim","CA","92802",-117.9415,33.8308
"109","1420 N State College Blvd","Anaheim","CA","92806",-117.8892,33.8551
"110","2005 E Katella Ave","Anaheim","CA","92806",-117.8891,33.8034
"111","2006 Somersville Rd","Antioch","CA","94509",-121.8387,38.0026
"112","4823 Lone Tree Way","Antioch","CA","94531",-121.7679,37.9629
"113","20242 Hwy 18","Apple Valley","CA","92307",-117.2214,34.5269
"114","18989 Bear Valley Road","Apple Valley","CA","92308",-117.2493,34.471
"115","7 East Huntington Dr","Arcadia","CA","91006",-118.0312,34.14
"116","16907 S Pioneer Blvd","Artesia","CA","90701",-118.0824,33.8775
"117","6910 El Camino Real","Atascadero","CA","93422",-120.6657,35.4868
"118","1601 Sycamore Ave","Atwater","CA","95301",-120.614,37.3457
"119","1800 Auburn Ravine Rd","Auburn","CA","95603",-121.0594,38.9232
"120","72415 Baker Blvd","Baker","CA","92309",-116.0705,35.2682
"121","2851 White Lane","Bakersfield","CA","93304",-119.0337,35.3176
"122","2684 Mt Vernon Ave","Bakersfield","CA","93306",-118.9676,35.3962
"123","2309 Panama Lane","Bakersfield","CA","93307",-119.0272,35.2959
"124","8011 E Brundage Lane","Bakersfield","CA","93307",-118.9183,35.3544
"125","17047 Zachary Avenue","Bakersfield","CA","93308",-119.1869,35.5347
"126","2627 Buck Owens Blvd","Bakersfield","CA","93308",-119.0432,35.3839
"127","35175 7th Standard Road","Bakersfield","CA","93308",-119.0763,35.4413
"128","4440 Gosford Rd","Bakersfield","CA","93311",-119.0921,35.315
"129","8710 Rosedale Hwy","Bakersfield","CA","93312",-119.0987,35.3835
"130","14550 Baldwin Pk Towne Center","Baldwin Park","CA","91706",-117.9592,34.0725
"131","6305 Joshua Palmer Way","Banning","CA","92220",-116.9459,33.9276
"132","1201 E Main St","Barstow","CA","92311",-117.0102,34.898
"133","2611 Fisher Rd","Barstow","CA","92311",-117.0828,34.8546
"134","2830 Lenwood Rd","Barstow","CA","92311",-117.0829,34.8492
"135","449 E 4th St","Beaumont","CA","92223",-116.9767,33.9262
"136","17230 Lakewood Blvd","Bellflower","CA","90706",-118.1426,33.8755
"137","9312 Rosecrans","Bellflower","CA","90706",-118.1356,33.904
"138","41196 Big Bear Blvd","Big Bear","CA","92315",-116.9033,34.2436
"139","1014 N Main St","Bishop","CA","93514",-118.3953,37.3715
"140","876 W Donlon St","Blythe","CA","92225",-114.606,33.6066
"141","7740 Orangethorpe","Buena Park","CA","90621",-117.9982,33.859
"142","2525 North Hollywood Way","Burbank","CA","91505",-118.3489,34.195
"143","1010 W Alameda Ave","Burbank","CA","91506",-118.3129,34.1633
"144","20672 Tracy Ave","Buttonwillow","CA","93206",-119.3979,35.4012
"145","110 W Cole Rd","Calexico","CA","92231",-115.5004,32.694
"146","1184 Calimesa Blvd","Calimesa","CA","92320",-117.0582,33.9956
"147","1659 E Dailey Dr","Camarillo","CA","93010",-119.0491,34.2183
"148","3446 Coach Lane","Cameron Park","CA","95682",-120.9674,38.6582
"149","2060 S Bascom Ave","Campbell","CA","95008",-121.9316,37.2858
"150","8330 Topanga Canyon Blvd","Canoga Park","CA","91306",-118.606,34.2205
"151","18932 W Soledad Canyon Rd","Canyon Country","CA","91351",-118.4655,34.4157
"152","1048 Carlsbad Village Dr","Carlsbad","CA","92008",-117.3433,33.1628
"153","7433 Fair Oaks Blvd","Carmichael","CA","95608",-121.3281,38.6356
"154","600 Carson Plaza Dr","Carson","CA","90746",-118.2642,33.8453
"155","31724 Castaic Rd","Castaic","CA","91384",-118.6212,34.495
"156","69050 Hwy 111","Cathedral City","CA","92234",-116.4603,33.7787
"157","1507 Herndon Rd","Ceres","CA","95307",-120.9742,37.6092
"158","675 Manzanita Court","Chico","CA","95926",-121.8449,39.7525
"159","12180 Central Ave","Chino","CA","91710",-117.6895,34.0326
"160","15459 Fairfield Ranch Rd","Chino Hills","CA","91710",-117.6898,33.9718
"161","110 Bonita Rd","Chula Vista","CA","91910",-117.0641,32.648
"162","692 E St","Chula Vista","CA","91910",-117.0974,32.6403
"163","2110 Birch Rd","Chula Vista","CA","91915",-116.9624,32.6214
"164","6215 Sunrise Blvd","Citrus Heights","CA","95610",-121.2716,38.6787
"165","5142 Triggs St","City of Commerce","CA","90022",-118.162,34.0111
"166","7268 E Gage Ave","City of Commerce","CA","90040",-118.127,33.9748
"167","820 South Indian Hill Blvd","Claremont","CA","91711",-117.7192,34.0806
"168","1151 Herndon Ave","Clovis","CA","93612",-119.6965,36.8375
"169","710 W Shaw Avenue","Clovis","CA","93612",-119.7242,36.8084
"170","25026 West Dorris","Coalinga","CA","93210",-120.2564,36.2542
"171","1190 S Mt Vernon","Colton","CA","92324",-117.3085,34.0487
"172","160 West Valley Blvd","Colton","CA","92324",-117.3253,34.067
"173","1313 Willow Pass Rd","Concord","CA","94520",-122.0523,37.9686
"174","260 Pittman Rd","Cordelia","CA","94585",-122.1262,38.2201
"175","2120 South Avenue","Corning","CA","96021",-122.1947,39.9065
"176","165 McKinley St","Corona","CA","92879",-117.5168,33.8851
"177","2379 Compton Ave","Corona","CA","92881",-117.5375,33.8432
"178","1833 W 6th St","Corona","CA","92882",-117.6019,33.8793
"179","3170 Harbor Blvd","Costa Mesa","CA","92626",-117.9193,33.6857
"180","1225 5th St","Crescent City","CA","95531",-124.1953,41.7555
"181","10700 Jefferson Blvd","Culver City","CA","90230",-118.3934,34.0041
"182","#2 Serra Monte","Daly City","CA","94015",-122.4713,37.6751
"183","34242 Del Obispo","Dana Point","CA","92629",-117.6867,33.4657
"184","2203 via De La Valle","Del Mar","CA","92014",-117.2559,32.9795
"185","14390 County Line Rd","Delano","CA","93215",-119.2496,35.7904
"186","1250 Stratford Ave","Dixon","CA","95620",-121.8392,38.458
"187","8350 E Firestone Blvd","Downey","CA","90241",-118.1321,33.9395
"188","1060 Huntington Dr","Duarte","CA","91010",-117.9827,34.1395
"189","2642 Jamacha Rd","El Cajon","CA","92019",-116.9319,32.7439
"190","2691 Navajo Rd","El Cajon","CA","92020",-117.0017,32.8018
"191","1202 W Main St","El Cajon","CA","92021",-116.978,32.795
"192","665 N Mollison Ave","El Cajon","CA","92021",-116.951,32.8037
"193","1445 Ocotillo Drive","El Centro","CA","92243",-115.5686,32.7768
"194","3403 Dogwood Ave","El Centro","CA","92243",-115.5349,32.7628
"195","11344 San Pablo Ave","El Cerrito","CA","94530",-122.3154,37.9211
"196","3540 N Peck Rd","El Monte","CA","91731",-118.0249,34.072
"197","9804 E Flair Drive","El Monte","CA","91731",-118.0552,34.0721
"198","2555 El Segundo Blvd","El Segundo","CA","90245",-118.3754,33.9165
"199","8707 Elk Grove Blvd","Elk Grove","CA","95624",-121.3807,38.409
"200","1776 Powell Street","Emeryville","CA","94608",-122.2959,37.8382
"201","135 Encinitas Blvd","Encinitas","CA","92024",-117.2899,33.0487
"202","510 W Mission Ave","Escondido","CA","92025",-117.0923,33.1282
"203","136 5th St","Eureka","CA","95501",-124.1699,40.8014
"204","1360 Holiday Lane","Fairfield","CA","94534",-122.0655,38.2569
"205","2980 Travis Blvd","Fairfield","CA","94534",-122.0649,38.2583
"206","713 South Main St","Fallbrook","CA","92028",-117.2514,33.3765
"207","1011 Riley Street","Folsom","CA","95630",-121.1699,38.6713
"208","17009-A Valley Blvd","Fontana","CA","92335",-117.4334,34.0704
"209","13479 Baseline Ave","Fontana","CA","92336",-117.5116,34.1214
"210","26712 Portola Parkway","Foothill Ranch","CA","92610",-117.6648,33.6803
"211","16205 Brookhurst St","Fountain Valley","CA","92708",-117.9547,33.7275
"212","160 N 10th Street","Fowler","CA","93625",-119.6838,36.628
"213","5280 Mowry Ave","Fremont","CA","94538",-122.0006,37.5336
"214","46645 Mission Blvd","Fremont","CA","94539",-121.9279,37.4912
"215","141 Abby St","Fresno","CA","93701",-119.7894,36.744
"216","3120 N Blackstone Ave","Fresno","CA","93703",-119.7905,36.7784
"217","2568 S East Ave","Fresno","CA","93706",-119.7718,36.7075
"218","1110 East Shaw St","Fresno","CA","93710",-119.7695,36.8089
"219","1746 W Shaw Ave","Fresno","CA","93711",-119.8244,36.8084
"220","30 E Herndon Ave","Fresno","CA","93720",-119.7835,36.8376
"221","530 South Clovis Ave","Fresno","CA","93727",-119.7002,36.7379
"222","1121 N Parkway Dr","Fresno","CA","93728",-119.8301,36.7566
"223","901 N Main St","Ft Bragg","CA","95437",-123.8059,39.4518
"224","2920 E Nutwood Ave","Fullerton","CA","92831",-117.8793,33.878
"225","1101 S Harbor Blvd","Fullerton","CA","92832",-117.9243,33.861
"226","1055 C St","Galt","CA","95632",-121.2982,38.2531
"227","13302 Harbor Blvd","Garden Grove","CA","92843",-117.9203,33.7696
"228","18620 S Western Ave","Gardena","CA","90248",-118.3091,33.8615
"229","8425 San Ysidro Ave","Gilroy","CA","95020",-121.5653,37.0239
"230","546 W Baseline Rd","Glendora","CA","91740",-117.8726,34.1213
"231","12820 St Hwy 33","Gustine","CA","95322",-121.0158,37.1031
"232","1150 So Seventh Ave","Hacienda Heights","CA","91745",-117.9888,34.0183
"233","1635 Glendale Ave","Hanford","CA","93230",-119.672,36.3202
"234","13201 Hawthorne Blvd","Hawthorne","CA","90250",-118.3528,33.9123
"235","14301 Inglewood","Hawthorne","CA","90250",-118.3613,33.9018
"236","30163 Industrial","Hayward","CA","94544",-122.0659,37.609
"237","2675 W Florida Ave","Hemet","CA","92545",-116.9997,33.7474
"238","13165 Main St","Hesperia","CA","92345",-117.3759,34.4267
"239","6100 Sunset","Hollywood","CA","90028",-118.3223,34.098
"240","18477 Beach Blvd","Huntington Beach","CA","92648",-117.989,33.6942
"241","82120 Hwy 111","Indio","CA","92201",-116.2318,33.7149
"242","14962 Sand Canyon Dr","Irvine","CA","92618",-117.7595,33.6762
"243","200 S Hwy 49","Jackson","CA","95642",-120.7731,38.3469
"244","27585 Bernard Drive","Kettleman City","CA","93239",-119.9603,35.9881
"245","1129 Broadway","King City","CA","93930",-121.1378,36.2053
"246","801 Sierra","Kingsburg","CA","93631",-119.5599,36.5179
"247","1150 S Beach Blvd","La Habra","CA","90631",-117.9678,33.918
"248","4235 Spring St","La Mesa","CA","91941",-117.0147,32.7557
"249","15553 Valley Blvd","La Puente","CA","91744",-117.9593,34.0209
"250","31760 Grape St","Lake Elsinore","CA","92532",-117.2933,33.6576
"251","23515 El Toro Rd","Lake Forest","CA","92630",-117.6992,33.6217
"252","13584 Camino Canada","Lakeside","CA","92040",-116.9013,32.8262
"253","2634 E Carson St","Lakewood","CA","90712",-118.1606,33.8324
"254","5520 South Street","Lakewood","CA","90713",-118.1243,33.8603
"255","11605 Carson St","Lakewood","CA","90715",-118.0864,33.8315
"256","1028 West Ave I","Lancaster","CA","93534",-118.1494,34.7034
"257","2005 W Ave K","Lancaster","CA","93536",-118.1659,34.6751
"258","16851 Harlan Rd","Lathrop","CA","95330",-121.2936,37.81
"259","9046 Loop Rd E","Lebec","CA","93243",-118.4894,35.132
"260","701 E Kettleman Lane","Lodi","CA","95240",-121.2593,38.1163
"261","15237 Thornton Road","Lodi","CA","95242",-121.3936,38.1186
"262","601 N Long Beach Blvd","Long Beach","CA","90802",-118.1895,33.7741
"263","5570 Pacific Coast Highway","Long Beach","CA","90804",-118.1235,33.7759
"264","3333 Atlantic Ave","Long Beach","CA","90807",-118.185,33.8176
"265","2860 N Bellflower Blvd","Long Beach","CA","90815",-118.1252,33.808
"266","400 N Vermont Avenue","Los Angeles","CA","90004",-118.2917,34.0778
"267","635 S Vermont Ave","Los Angeles","CA","90005",-118.2917,34.0623
"268","3750 Wilshire Blvd","Los Angeles","CA","90010",-118.3078,34.0617
"269","530 Ramirez St","Los Angeles","CA","90012",-118.2318,34.0548
"270","3740 S Crenshaw Blvd","Los Angeles","CA","90016",-118.3351,34.0185
"271","888 S Figueroa St","Los Angeles","CA","90017",-118.2627,34.0463
"272","4760 East Cesar E Chavez Avenue","Los Angeles","CA","90022",-118.1629,34.0406
"273","5751 Sunset Blvd","Los Angeles","CA","90028",-118.3148,34.0981
"274","5535 W Century","Los Angeles","CA","90045",-118.3774,33.9454
"275","8601 S Bellanca Ave","Los Angeles","CA","90045",-118.3805,33.9598
"276","11700 Wilmington Ave","Los Angeles","CA","90059",-118.2391,33.9273
"277","3060 San Fernando Rd","Los Angeles","CA","90065",-118.2451,34.1141
"278","1491 West Pacheco","Los Banos","CA","93635",-120.8778,37.0568
"279","2160 E Pacheco Blvd","Los Banos","CA","93635",-120.8207,37.0571
"280","I-5 Hwy 46","Lost Hills","CA","93249",-119.8676,35.6149
"281","11195 Long Beach Blvd","Lynwood","CA","90262",-118.2114,33.9296
"282","22717 Ave 18 1/2","Madera","CA","93637",-120.1341,37.0182
"283","1135 S Main St","Manteca","CA","95336",-121.2161,37.7867
"284","110 Reservation Road","Marina","CA","93933",-121.8029,36.6959
"285","630 Tenth St","Marysville","CA","95901",-121.5937,39.1455
"286","5900 Atlantic Blvd","Maywood","CA","90270",-118.1856,33.9871
"287","1500 Ana Sparks Way","Mckinleyville","CA","95519",-124.1026,40.9328
"288","90480 66th Ave","Mecca","CA","92254",-116.0898,33.5712
"289","1128 W 13th St","Merced","CA","95341",-120.4953,37.3006
"290","333 S Abbott","Milpitas","CA","95035",-121.9129,37.4254
"291","6285 Pats Ranch Road, Suite A","Mira Loma","CA","91752",-117.5439,33.9739
"292","24445 Alicia Parkway","Mission Viejo","CA","92691",-117.6897,33.6072
"293","1525 McHenry Ave","Modesto","CA","95350",-120.994,37.666
"294","2052 W Orangeburg St","Modesto","CA","95350",-121.0298,37.6662
"295","110 McHenry St","Modesto","CA","95354",-120.9938,37.646
"296","16262 Sierra Hwy","Mojave","CA","93501",-118.1751,35.0569
"297","2727 via Campo","Montebello","CA","90640",-118.1257,34.0328
"298","2137 North Fremont St","Monterey","CA","93940",-121.8616,36.5964
"299","300 Fremont Street","Monterey","CA","93940",-121.8927,36.5953
"300","832 New Los Angeles Ave","Moorpark","CA","93021",-118.8672,34.2803
"301","24952 Sunnymead Blvd","Moreno Valley","CA","92553",-117.2274,33.9391
"302","875 Cochrane Rd","Morgan Hill","CA","95037",-121.655,37.1515
"303","25365 Madison Ave","Murrieta","CA","92562",-117.1973,33.5544
"304","Highway 79 & Benton Rd","Murrieta","CA","92563",-117.1249,33.5921
"305","63690 20th Ave","N Palm Springs","CA","92258",-116.5506,33.9055
"306","1000 Imola Ave","Napa","CA","94559",-122.2741,38.2805
"307","1904 Sweetwater Rd","National City","CA","91950",-117.0791,32.6613
"308","424 W Mile of Cars","National City","CA","91950",-117.1059,32.6608
"309","1400 J St","Needles","CA","92363",-114.6117,34.8391
"310","2830 Camino Del Rios North","Newbury Park","CA","91320",-118.9362,34.1906
"311","681 Newcastle Rd","Newcastle","CA","95658",-121.1312,38.8698
"312","25341 Chiquella Dr","Newhall","CA","91381",-118.5671,34.3785
"313","11377 Burbank Blvd","No Hollywood","CA","91601",-118.3788,34.1722
"314","1360 N Hamner Ave","Norco","CA","92860",-117.5624,33.9017
"315","13136 Sherman Way","North Hollywood","CA","91605",-118.419,34.2012
"316","9001 Tampa Ave","Northridge","CA","91324",-118.5536,34.2341
"317","17018 Devonshire St","Northridge","CA","91325",-118.5029,34.2575
"318","12616 Pioneer Blvd","Norwalk","CA","90650",-118.0818,33.9168
"319","1555 East F St","Oakdale","CA","95361",-120.8297,37.7732
"320","40650 Hwy 41","Oakhurst","CA","93644",-119.6341,37.3881
"321","601 Hegenberger","Oakland","CA","94621",-122.1962,37.7453
"322","2273 El Camino Real","Oceanside","CA","92054",-117.3281,33.1855
"323","487 Harbor Dr","Oceanside","CA","92054",-117.3898,33.207
"324","605 College Blvd","Oceanside","CA","92057",-117.2899,33.2435
"325","2421 S Archibald","Ontario","CA","91761",-117.5931,34.0296
"326","1409 E 4th St","Ontario","CA","91762",-117.6255,34.0777
"327","502 N Vineyard","Ontario","CA","91764",-117.611,34.0684
"328","715 N Milliken Ave","Ontario","CA","91764",-117.5584,34.0701
"329","1695 E Lincoln Ave","Orange","CA","92865",-117.8363,33.835
"330","3000 W Chapman Ave","Orange","CA","92868",-117.8831,33.7879
"331","8841 Greenback Ln","Orangevale","CA","95662",-121.2284,38.6786
"332","2470 Oro Dam Blvd","Oroville","CA","95966",-121.5468,39.5058
"333","1255 N Oxnard","Oxnard","CA","93030",-119.1775,34.2139
"334","800 Garnet Ave","Pacific Beach","CA","92109",-117.2555,32.7965
"335","1201 N Palm Canyon Dr","Palm Springs","CA","92262",-116.5468,33.8395
"336","1257 Rancho Vista Blvd","Palmdale","CA","93551",-118.1531,34.6018
"337","37050 47th St E","Palmdale","CA","93552",-118.0453,34.5548
"338","8500 Van Nuys Blvd","Panorama City","CA","91402",-118.4488,34.2248
"339","2627 E Colorado Blvd","Pasadena","CA","91107",-118.0961,34.1461
"340","1310 24th St","Paso Robles","CA","93446",-120.6864,35.642
"341","15001 Rogers Rd","Patterson","CA","95363",-121.1761,37.4667
"342","570 E 4th St","Perris","CA","92570",-117.2189,33.7824
"343","4986 Petaluma Blvd","Petaluma","CA","94952",-122.6705,38.2695
"344","8600 E Whittier Blvd","Pico Rivera","CA","90660",-118.0886,34.0033
"345","611 Five Cities Dr","Pismo Beach","CA","93449",-120.6218,35.1356
"346","108 E Orangethorpe Ave","Placentia","CA","92870",-117.8725,33.8625
"347","99 Fair Lane Dr","Placerville","CA","95667",-120.8306,38.7226
"348","612 Contra Costa Blvd","Pleasant Hill","CA","94523",-122.0645,37.9748
"349","3012 W Temple Ave","Pomona","CA","91766",-117.7982,34.0407
"350","1504 Gillette Rd","Pomona","CA","91768",-117.7778,34.0742
"351","3801 W Temple Avenue","Pomona","CA","91768",-117.8165,34.0502
"352","2511 N Ventura Rd","Port Hueneme","CA","93041",-119.1951,34.176
"353","1262 W Henderson Ave","Porterville","CA","93257",-119.0457,36.0804
"354","360 Montgomery Ave","Porterville","CA","93257",-119.0253,36.0498
"355","1946 Main St","Ramona","CA","92065",-116.8833,33.033
"356","2474 Sunrise Blvd","Rancho Cordova","CA","95670",-121.2696,38.6141
"357","11899 Foothills Blvd","Rancho Cucamonga","CA","91730",-117.5456,34.1063
"358","29019 Western Avenue","Rancho Palos Verdes","CA","90275",-118.3097,33.7555
"359","48 Antelope Blvd","Red Bluff","CA","96080",-122.2288,40.1791
"360","2608 Hilltop Dr","Redding","CA","96002",-122.3581,40.5707
"361","542 E Cypress St","Redding","CA","96002",-122.362,40.571
"362","9 W Redlands Blvd","Redlands","CA","92373",-117.1827,34.0573
"363","1180 Alabama St","Redlands","CA","92374",-117.2087,34.0685
"364","1760 Aviation Blvd","Redondo Beach","CA","90278",-118.382,33.872
"365","1201 Broadway","Redwood City","CA","94063",-122.2142,37.4871
"366","7600 Reseda Blvd","Reseda","CA","91335",-118.5361,34.2084
"367","1377 W Foothill Blvd","Rialto","CA","92376",-117.3982,34.1067
"368","104 China Lake Blvd","Ridgecrest","CA","93555",-117.67,35.6224
"369","1501 N Jack Tone Road","Ripon","CA","95366",-121.1425,37.7569
"370","2955 Van Buren Blvd","Riverside","CA","92503",-117.4368,33.9086
"371","3530 Madison St","Riverside","CA","92504",-117.4061,33.9373
"372","1245 University Ave","Riverside","CA","92507",-117.3388,33.9757
"373","4460 Rocklin Rd","Rocklin","CA","95677",-121.2248,38.7885
"374","122 Sunrise Ave","Roseville","CA","95661",-121.2668,38.7432
"375","5181 Foothills Blvd","Roseville","CA","95747",-121.3115,38.7631
"376","1425 S Nogales","Rowland Heights","CA","91748",-117.889,33.9914
"377","6875 Valley Way","Rubidoux","CA","92509",-117.4359,34.0106
"378","300 Bercut Drive","Sacramento","CA","95814",-121.5022,38.5973
